snoring,respirationrate,bodytemperature,sleepinghours,heartrate,stresslevel
36,20,97.06,8.47,76,1
60,26,96.18,6.31,54,3
75,27,100.13,5.21,94,4
78,5,81.32,2.56,113,5
74,6,100.62,5.08,45,4
49,11,99.22,6.51,58,2
58,25,99.93,6.23,89,3
78,38,108.61,1.52,41,5
42,15,97.56,7.26,61,1
50,21,96.62,9.41,58,2
39,19,97.7,8.13,61,1
64,9,99.63,5.78,52,3
34,20,98.08,7.89,74,1
68,6,100.58,10.07,49,4
68,28,100.13,10.25,97,4
60,24,95.94,5.75,90,3
47,10,96.75,9.32,83,2
39,14,98.65,8.52,74,1
61,9,96.33,6.04,52,3
61,25,99.81,6.14,88,3
55,11,96.88,6.54,84,2
34,16,98.21,8.28,73,1
67,6,95.67,5.0,94,4
77,1,84.37,2.06,113,5
66,6,100.13,5.07,100,4
50,23,99.39,9.1,55,2
88,33,106.92,3.59,44,5
31,17,98.48,8.82,68,1
49,22,96.78,6.77,83,2
82,0,80.65,0.16,41,5
49,23,99.1,9.19,83,2
74,6,100.17,10.14,48,4
47,23,99.44,6.74,84,2
53,10,96.51,6.67,85,2
43,14,98.58,7.03,64,1
87,3,82.08,0.28,39,5
46,22,99.27,9.03,55,2
37,13,98.54,7.32,79,1
68,7,95.28,10.13,98,4
89,40,107.71,2.35,44,5
39,15,98.2,8.01,72,1
32,13,97.47,8.91,67,1
77,1,105.51,1.02,36,5
63,9,96.24,5.6,87,3
58,24,96.19,6.12,86,3
68,29,95.43,5.06,48,4
46,11,99.47,9.26,81,2
46,22,99.2,6.68,84,2
36,12,97.55,7.67,64,1
54,10,99.15,6.55,81,2
37,20,97.74,8.8,75,1
31,12,97.24,8.77,78,1
73,6,100.6,5.25,49,4
65,26,96.05,6.37,53,3
49,21,99.33,6.88,56,2
82,1,109.72,0.25,124,5
65,9,96.4,5.64,87,3
59,25,96.13,6.29,89,3
67,30,95.09,5.33,100,4
86,2,108.6,3.96,42,5
58,26,99.66,6.26,51,3
73,7,100.32,10.37,98,4
83,3,108.4,0.64,44,5
51,11,99.36,9.14,56,2
30,12,97.63,7.05,64,1
67,7,95.8,10.27,96,4
76,32,84.83,3.62,42,5
41,18,98.3,8.01,69,1
69,30,95.01,10.02,97,4
54,21,99.47,9.38,56,2
38,16,97.3,7.71,62,1
54,23,96.66,9.32,56,2
59,8,99.62,6.23,51,3
76,1,83.14,2.15,40,5
70,7,100.18,10.08,100,4
84,33,105.48,2.94,41,5
56,8,99.77,5.81,53,3
87,4,108.09,3.35,111,5
48,21,99.47,9.45,56,2
68,28,100.14,5.03,47,4
61,8,99.7,5.78,90,3
72,6,95.48,5.33,94,4
49,10,96.61,9.5,58,2
75,30,100.29,10.35,49,4
67,6,95.27,10.29,48,4
37,15,98.03,7.33,79,1
66,7,100.55,10.41,48,4
54,21,96.73,6.53,83,2
70,29,95.12,10.27,96,4
66,6,95.59,10.09,99,4
69,29,95.41,5.31,47,4
68,7,95.07,10.32,96,4
69,28,100.31,10.49,45,4
84,32,107.35,1.74,125,5
35,17,97.45,7.76,75,1
31,19,98.72,7.26,78,1
58,8,99.87,5.64,89,3
64,9,95.98,6.23,54,3
56,8,99.61,6.31,89,3
79,2,84.19,2.05,120,5
85,37,106.31,3.85,35,5
40,16,98.0,8.28,72,1
72,27,95.57,10.05,96,4
40,16,97.71,8.38,62,1
54,21,99.49,6.62,83,2
61,24,96.34,5.71,50,3
35,18,98.03,8.57,62,1
41,18,97.22,7.49,63,1
65,25,99.69,5.73,50,3
71,7,100.37,10.1,94,4
54,11,96.59,6.78,85,2
53,23,99.49,9.43,55,2
46,21,96.53,9.47,58,2
59,9,99.79,6.34,89,3
